id,text_vi,text_ascii,specialty_name_vi,disease_name_vi,source_text,source_name,source_url,source_type,language,translation_method,review_status,notes
1,Toi bi sot ho dau hong va met moi toi nay,toi bi sot ho dau hong va met moi toi nay,Noi tong quat,Cam cum,,internal_rule_seed,,seed_vi,vi,manual_from_project_keywords,needs_medical_review,Seed tao tu rule keywords hien co
2,Toi cam thay kho tho nhe kem nhuc dau,toi cam thay kho tho nhe kem nhuc dau,Noi tong quat,Cam cum,,internal_rule_seed,,seed_vi,vi,manual_from_project_keywords,needs_medical_review,Seed tao tu rule keywords hien co
3,Em bi dau bung non va day hoi sau khi an,em bi dau bung non va day hoi sau khi an,Tieu hoa,Viem da day,,internal_rule_seed,,seed_vi,vi,manual_from_project_keywords,needs_medical_review,Seed tao tu rule keywords hien co
4,Toi hay buon non kho tieu va dau vung da day,toi hay buon non kho tieu va dau vung da day,Tieu hoa,Viem da day,,internal_rule_seed,,seed_vi,vi,manual_from_project_keywords,needs_medical_review,Seed tao tu rule keywords hien co
5,Gan day toi tieu chay va dau bung am i,gan day toi tieu chay va dau bung am i,Tieu hoa,Roi loan tieu hoa,,internal_rule_seed,,seed_vi,vi,manual_from_project_keywords,needs_medical_review,Seed tao tu rule keywords hien co
6,Toi bi dau nguc hoi hop va tim dap nhanh,toi bi dau nguc hoi hop va tim dap nhanh,Tim mach,Dau that nguc,,internal_rule_seed,,seed_vi,vi,manual_from_project_keywords,needs_medical_review,Seed tao tu rule keywords hien co
7,Toi thuong xuyen tuc nguc va kho tho khi di nhanh,toi thuong xuyen tuc nguc va kho tho khi di nhanh,Tim mach,Dau that nguc,,internal_rule_seed,,seed_vi,vi,manual_from_project_keywords,needs_medical_review,Seed tao tu rule keywords hien co
8,Toi co tien su cao huyet ap va hay met tim,toi co tien su cao huyet ap va hay met tim,Tim mach,Tang huyet ap,,internal_rule_seed,,seed_vi,vi,manual_from_project_keywords,needs_medical_review,Seed tao tu rule keywords hien co
9,Da toi bi ngua noi man do va phat ban,da toi bi ngua noi man do va phat ban,Da lieu,Di ung da,,internal_rule_seed,,seed_vi,vi,manual_from_project_keywords,needs_medical_review,Seed tao tu rule keywords hien co
10,Toi noi mun va viem da o mat va lung,toi noi mun va viem da o mat va lung,Da lieu,Viem da co dia,,internal_rule_seed,,seed_vi,vi,manual_from_project_keywords,needs_medical_review,Seed tao tu rule keywords hien co
11,Tay toi bi man do va rat ngua sau khi an hai san,tay toi bi man do va rat ngua sau khi an hai san,Da lieu,Di ung da,,internal_rule_seed,,seed_vi,vi,manual_from_project_keywords,needs_medical_review,Seed tao tu rule keywords hien co
