id,text_vi,text_ascii,specialty_name_vi,disease_name_vi,source_text,source_name,source_url,source_type,language,translation_method,review_status,notes
1,Toi bi dau bung va dau o vung bung duoi sau bua an,toi bi dau bung va dau o vung bung duoi sau bua an,Tieu hoa,Dau bung,Abdominal pain / belly pain,MedlinePlus,https://medlineplus.gov/abdominalpain.html,official_medical_reference,en_to_vi_paraphrase,vi,manual_paraphrase_from_official_source,needs_medical_review,Nhan khoa duoc map theo taxonomy cua project
2,Toi dau bung kem day hoi va kho chiu o vung da day,toi dau bung kem day hoi va kho chiu o vung da day,Tieu hoa,Kho tieu,Abdominal pain and indigestion,MedlinePlus,https://medlineplus.gov/abdominalpain.html,official_medical_reference,en_to_vi_paraphrase,vi,manual_paraphrase_from_official_source,needs_medical_review,Nhan khoa duoc map theo taxonomy cua project
3,Toi bi dau nguc nhu bi de nang va kho tho,toi bi dau nguc nhu bi de nang va kho tho,Tim mach,Dau nguc,Chest pain with shortness of breath,MedlinePlus,https://medlineplus.gov/chestpain.html,official_medical_reference,en_to_vi_paraphrase,vi,manual_paraphrase_from_official_source,needs_medical_review,Chest pain co nhieu nguyen nhan; nhom map theo khoa uu tien trong project
4,Toi bi dau nguc kem choang vang va van mo hoi,toi bi dau nguc kem choang vang va van mo hoi,Tim mach,Dau nguc,Chest pain with dizziness or sweating,MedlinePlus,https://medlineplus.gov/chestpain.html,official_medical_reference,en_to_vi_paraphrase,vi,manual_paraphrase_from_official_source,needs_medical_review,Chest pain co nhieu nguyen nhan; nhom map theo khoa uu tien trong project
5,Toi bi dau hong va nuot rat dau,toi bi dau hong va nuot rat dau,Tai mui hong,Viem hong,Sore throat and painful swallowing,MedlinePlus,https://medlineplus.gov/sorethroat.html,official_medical_reference,en_to_vi_paraphrase,vi,manual_paraphrase_from_official_source,needs_medical_review,Nhan khoa duoc map theo taxonomy cua project
6,Toi bi rat hong kem khan tieng va kho chiu o co hong,toi bi rat hong kem khan tieng va kho chiu o co hong,Tai mui hong,Viem hong,Sore throat / pharyngitis,MedlinePlus,https://medlineplus.gov/sorethroat.html,official_medical_reference,en_to_vi_paraphrase,vi,manual_paraphrase_from_official_source,needs_medical_review,Nhan khoa duoc map theo taxonomy cua project
7,Toi bi nghet mui va chay nuoc mui lien tuc,toi bi nghet mui va chay nuoc mui lien tuc,Tai mui hong,Nghet mui,Stuffy or runny nose,MedlinePlus,https://medlineplus.gov/ency/article/003049.htm,official_medical_reference,en_to_vi_paraphrase,vi,manual_paraphrase_from_official_source,needs_medical_review,Nhan khoa duoc map theo taxonomy cua project
8,Toi bi mui nghep kem gote mui sau va ho nhe,toi bi mui nghep kem gote mui sau va ho nhe,Tai mui hong,Nghet mui,Postnasal drip with congestion,MedlinePlus,https://medlineplus.gov/ency/article/003049.htm,official_medical_reference,en_to_vi_paraphrase,vi,manual_paraphrase_from_official_source,needs_medical_review,Nhan khoa duoc map theo taxonomy cua project
9,Da toi bi noi ban do va ngua rat nhieu,da toi bi noi ban do va ngua rat nhieu,Da lieu,Phat ban,Rash with itching and redness,MedlinePlus,https://medlineplus.gov/rashes.html,official_medical_reference,en_to_vi_paraphrase,vi,manual_paraphrase_from_official_source,needs_medical_review,Nhan khoa duoc map theo taxonomy cua project
10,Toi co vung da bi kich ung sung do va ran rat,toi co vung da bi kich ung sung do va ran rat,Da lieu,Viem da,Rash / irritated swollen skin,MedlinePlus,https://medlineplus.gov/rashes.html,official_medical_reference,en_to_vi_paraphrase,vi,manual_paraphrase_from_official_source,needs_medical_review,Nhan khoa duoc map theo taxonomy cua project
11,Toi bi dau khop va thay khop bi cung khi cu dong,toi bi dau khop va thay khop bi cung khi cu dong,Xuong khop,Dau khop,Joint pain with pain on movement,MedlinePlus,https://medlineplus.gov/ency/article/003261.htm,official_medical_reference,en_to_vi_paraphrase,vi,manual_paraphrase_from_official_source,needs_medical_review,Nhan khoa duoc map theo taxonomy cua project
12,Toi bi dau khop kem sung nong va do quanh khop,toi bi dau khop kem sung nong va do quanh khop,Xuong khop,Dau khop,Joint pain with swelling warmth redness,MedlinePlus,https://medlineplus.gov/ency/article/003261.htm,official_medical_reference,en_to_vi_paraphrase,vi,manual_paraphrase_from_official_source,needs_medical_review,Nhan khoa duoc map theo taxonomy cua project
13,Mat toi bi do va ngua kem co ghe o mat,mat toi bi do va ngua kem co ghe o mat,Mat,Do mat,Eye redness with itching,MedlinePlus,https://medlineplus.gov/ency/article/003031.htm,official_medical_reference,en_to_vi_paraphrase,vi,manual_paraphrase_from_official_source,needs_medical_review,Nhan khoa duoc map theo taxonomy cua project
14,Toi bi do mat kem dau va hoi mo tam nhin,toi bi do mat kem dau va hoi mo tam nhin,Mat,Dau mat,Red eye with pain or vision change,MedlinePlus,https://medlineplus.gov/ency/article/003031.htm,official_medical_reference,en_to_vi_paraphrase,vi,manual_paraphrase_from_official_source,needs_medical_review,Nhan khoa duoc map theo taxonomy cua project
15,Toi thay mat cay rat va nhu co cat trong mat,toi thay mat cay rat va nhu co cat trong mat,Mat,Kho mat,Dry eye scratchy feeling,MedlinePlus,https://medlineplus.gov/ency/article/000426.htm,official_medical_reference,en_to_vi_paraphrase,vi,manual_paraphrase_from_official_source,needs_medical_review,Nhan khoa duoc map theo taxonomy cua project
16,Mat toi kho kem nong ran va do nhe,mat toi kho kem nong ran va do nhe,Mat,Kho mat,Dry eye burning and redness,MedlinePlus,https://medlineplus.gov/ency/article/000426.htm,official_medical_reference,en_to_vi_paraphrase,vi,manual_paraphrase_from_official_source,needs_medical_review,Nhan khoa duoc map theo taxonomy cua project
